open_time,open,high,low,close,volume,quote_asset_volume,trades,taker_base,taker_quote,ignore
2025-11-03 21:41:00,106853.47,106908.0,106828.0,106908.0,14.2116,1518785.9349795,3670,8.2317,879731.4393407,0
2025-11-03 21:42:00,106908.0,106940.7,106889.09,106928.6,6.79162,726188.2858134,3516,2.39333,255903.7626036,0
2025-11-03 21:43:00,106928.6,107013.48,106915.97,107013.48,14.0708,1505092.7204569,3423,11.20158,1198253.4302679,0
2025-11-03 21:44:00,107013.48,107032.0,106994.55,107020.48,9.25402,990329.8834272,2335,6.00462,642605.6039787,0
2025-11-03 21:45:00,107020.49,107038.84,106965.21,107012.25,11.76292,1258804.5295148,5016,2.37898,254564.1707717,0
2025-11-03 21:46:00,107012.25,107028.71,106979.81,107020.74,9.10955,974840.8749872,3021,1.54362,165172.3730516,0
2025-11-03 21:47:00,107020.73,107020.74,106915.06,106915.06,13.69783,1465447.1437633,5585,2.71781,290761.2944244,0
2025-11-03 21:48:00,106915.06,106980.74,106915.05,106935.96,7.64944,818122.3145226,3048,5.24934,561400.5206643,0
2025-11-03 21:49:00,106935.95,106935.96,106902.25,106907.12,4.16216,444998.2102333,1746,1.09797,117386.2249664,0
2025-11-03 21:50:00,106907.12,106978.59,106877.75,106967.09,8.99446,961815.5301585,4119,4.79177,512429.3730886,0
2025-11-03 21:51:00,106967.09,106970.0,106920.0,106968.0,5.2587,562381.3498649,2507,3.0215,323105.6153948,0
2025-11-03 21:52:00,106967.99,106967.99,106941.7,106942.96,2.92646,312976.3927048,1628,0.68198,72934.4305583,0
2025-11-03 21:53:00,106942.97,107017.12,106942.96,106968.16,6.90803,739044.1913127,3675,3.74601,400714.5660907,0
2025-11-03 21:54:00,106968.16,106974.32,106920.0,106974.0,5.71687,611377.7086009,2387,1.74897,187036.840753,0
2025-11-03 21:55:00,106974.0,106993.91,106934.44,106934.45,6.1477,657595.2460733,3565,1.75497,187719.4773799,0
2025-11-03 21:56:00,106934.45,106937.99,106909.04,106929.17,8.99506,961737.5790815,1375,1.60506,171606.8448896,0
2025-11-03 21:57:00,106929.17,106929.17,106877.75,106881.78,4.72254,504852.4168543,2862,2.45887,262847.0352603,0
2025-11-03 21:58:00,106881.78,106881.78,106813.93,106825.79,11.21086,1197797.890094,2626,1.48916,159109.8017338,0
2025-11-03 21:59:00,106825.8,106923.42,106825.8,106888.71,5.36575,573495.8373227,3112,3.80098,406218.6362067,0
2025-11-03 22:00:00,106888.71,106888.71,106800.57,106800.57,6.13265,655190.3301281,3485,1.22914,131334.1024583,0
2025-11-03 22:01:00,106800.58,106800.58,106558.93,106623.57,32.1317,3426253.9000353,7435,12.8823,1373399.7327836,0
2025-11-03 22:02:00,106623.58,106635.18,106564.23,106601.74,6.49351,692271.8889022,3786,2.55144,271962.530442,0
2025-11-03 22:03:00,106601.73,106601.73,106404.1,106425.67,19.49361,2076000.8944333,7736,1.91213,203561.1275245,0
2025-11-03 22:04:00,106425.67,106514.01,106425.67,106495.39,8.1977,872969.203507,3955,4.30744,458662.3439415,0
2025-11-03 22:05:00,106495.38,106678.68,106495.38,106627.97,99.46788,10602368.6155205,6514,91.56108,9759243.0843126,0
2025-11-03 22:06:00,106627.96,106627.97,106518.03,106572.99,13.67694,1457411.9108862,6555,5.58387,594964.1835028,0
2025-11-03 22:07:00,106572.98,106572.99,106542.75,106551.63,6.75568,719885.4172803,2372,2.04785,218206.958998,0
2025-11-03 22:08:00,106551.64,106633.59,106551.63,106627.86,15.35637,1637243.9468828,3730,9.78122,1042790.3439395,0
2025-11-03 22:09:00,106627.85,106662.66,106614.64,106652.73,4.43302,472718.7060852,2945,3.1022,330801.8686322,0
2025-11-03 22:10:00,106652.73,106652.73,106602.67,106602.67,8.38041,893658.3676218,2820,4.7548,507048.417218,0
